A/Brisbane/02/2018	A/Brisbane/2/2018
A/California/07/2009	A/California/7/2009
A/Cote_DIvoire/1448/2021	A/CoteDIvoire/1448/2021
A/India-PUN-NIV328484/2021	A/India/PUN-NIV328484/2021
A/India-Pune-Nivcov2221170/2022	A/India/Pune-Nivcov2221170/2022
A/Togo/0274/2021	A/Togo/274/2021
A/Togo/0304/2021	A/Togo/304/2021
